分类,ID,问题,答案,
一、在预约环节，患者有哪些疑问和需求,1,"预约到什么时间？什么时候做检查？
我不知道什么时候在哪里在哪里检查？什么地点？在哪里做检查？
需要去那里预约检查啊？怎么预约？",缴费后系统自动预约，预约时间和地点会以短信的方式，发送到所预留的手机号，若没有收到短信，可以在“重医一院”公众号“检查预约”内查询，也可在门诊负一楼放射科签到机上刷登记码查询。,
,2,需不需要签到，在那里签到？,需要签到，预约时间内到指定地点签到即可。预约时间和地点会以短信的方式，发送到所预留的手机号，若没有收到短信，可以在“重医一院”公众号内查询，也可在门诊负一楼放射科签到机上刷登记码查询。,
,3,哪里看预约签到时间以及准备工作？,"预约时间和地点会以短信的方式，发送到所预留的手机号，若没有收到短信，可以在“重医一院”公众号内查询，也可在门诊负一楼放射科签到机上刷登记码查询。
检查的准备工作也会以短信链接的方式发送到所预留的手机号，需点开链接查看。若没有收到短信，可以在“重医一院”公众号“检查预约”内查询。",
,4,检查前准备？可以吃东西吗，有没有撒子要注意的？,"检查的准备工作也会以短信链接的方式发送到所预留的手机号，需点开链接查看。若没有收到短信，可以在“重医一院”公众号的“检查预约”内查询。
检查胃、胰腺CT的，需要禁食6小时，但可以喝水。检查胆囊肿瘤、胆囊息肉CT的检查需要禁食禁饮6小时。小肠CT增强，前一天晚上需要流质饮食，然后禁饮禁食直到检查结束，口服和爽泻药进行肠道准备，需要携带山莨菪碱和甘露醇到检查室。
检查ERCP（磁共振胰胆管检查）、MRU（磁共振尿路检查），检查前6-8小时开始停止进食饮水。检查上腹部MR增强（钆赛酸二钠）的，检查前空腹4小时，可进食牛奶豆浆等，勿进食固体、渣食。",
,5,怎么更改检查地点和检查时间？,登陆微信“重医一院”公众号，在“检查预约”里面可以自己改约。可以到门诊负一楼放射科登记室，找工作人员改约。也可以在工作时间打电话给89012349，请工作人员改约。,
,6,本部约的时间太长了，我尽快做怎么办呢？有啥办法可以早点做诶？能不能提前做？怎么能尽快做到检查？预约的明天，今天能提前做检查吗？,"放射科的检查都是缴费后系统自动预约的最早时间，只能根据预约时间到相应检查室做检查。也可以去门诊负一楼放射科登记室咨询，分院时间会不会早一些，改约到分院做检查。改约至经纬院区、大礼堂院区、金山院区的方式有三种：
   （1）手机自助改约：关注“重医一院”公众号 → 点击“检查预约” → 选择“改约”，点击改约按钮后显示院区信息，选择院区即可查看其他院区的号源，若有号源且该院区可进行该项检查，即可完成改约。
   （2）人工窗口改约：2号楼负一楼（工作日7:30-18:00，周末与门诊上班时间一致）。
   （3）自助签到机改约：2号楼负一楼放射科登记窗口旁，根据签到机提示操作即可。

   至分院检查可选择乘坐转运交通车或自行前往，附交通时刻表：",
,8,预约检查的时间和地点，怎么预约到其它院区去了？,放射科的检查都是缴费后系统自动预约的最早时间，若本部预约时间过长，会自动预约到等待时间更短的分院去检查。,
,9,为啥子要预约嫩个久诶？为什么这个检查需要预约，而且要等这么久？,重医附一院是重庆三甲医院，接诊的患者很多，所以预约时间比较长。,
,10,退役军人可以马上做检查不？,仅限退役军人本人，当天可以适当优先做检查。,
,11,需要在哪里缴费？,医生开具检查后，可以在门诊任意收费窗口缴费。可以在微信“重医一院”公众号内，点击门诊缴费，手机支付。可以扫描门诊导检单右下角的二维码，进行手机缴费。,
,12,我不晓得预约起没有，怎么看啊？,缴费后系统自动预约，预约时间和地点会以短信的方式，发送到所预留的手机号，若没有收到短信，可以在“重医一院”公众号“检查预约”内查询，也可在门诊负一楼放射科签到机上刷登记码查询。,
,13,单子上说让我看短信，我没收到短信，是怎么回事？我怎么收不到预约的信息？没收到预约短信怎么办？,若没有收到短信，可以在“重医一院”公众号“检查预约”内查询，也可在门诊负一楼放射科签到机上刷登记码查询。,
,14,微信公众号怎么看预约信息啊？,在“重医一院”公众号“检查预约”内查询。,
,15,我现在做的是撒子检查？,您看您的检查申请单上有写具体的检查项目。,
,16,我好久做得到检查？,根据预约时间去相应检查室签到，然后签到的工作人员会给您排队，告知具体检查准备时间。,
,17,最快好久能拿到报告？,平诊的一般24小时左右出报告，急诊2小时左右出报告。可以在“重医一院”微信公众号内，点击“报告查询”查看报告。如果是外地的患者，可以携带身份证到门诊负一楼放射科咨询台，告知工作人员，可加速出报告 。,
,18,这个检查要好多钱？,检查费用根据检查项目而定，项目越多费用越贵，请看缴费清单或手机支付界面。,
,19,我这个检查打不打药？,可以看您的检查项目写的是“平扫”还是“增强”，平扫检查不需要打药，增强检查需要打药。,
,20,我需不需要去拿药？我在哪点去拿药？,增强检查的对比剂不需要患者去拿，放射科使用的对比剂均由放射科工作人员统一领取。,
,21,一个人能不能检查？,一个人可以检查，行动方便的患者，平扫检查是不需要家属陪同的。但是增强检查需要注射对比剂，有过敏风险，最好有家属陪同，如果没有家属陪同，请留下家属电话在检查申请单上，方便联系。,
,22,我想后面有空再来检查可不可以？在哪里可以选择自己想约的时间段，我不知道怎么操作？我这个检查时间能改吗？,可以修改预约时间。登陆微信“重医一院”公众号，在“检查预约”里面可以自己改约。可以到门诊负一楼放射科登记室，找工作人员改约。也可以在工作时间打电话给89012349，请工作人员改约。,
,23,已经预约了，但我又不想做了，可以退费吗？,可以退费，请去门诊负一楼放射科登记室窗口办理退费手续，然后去缴费窗口退费即可。,
,24,手机上看到有号，但是约不进去，怎么办？,如果约不进去，说明可预约的剩余时长不满足您检查所需时长，或者您的检查项目不能在该检查设备上进行。,
,25,我手机号留的不是本人的，在哪里改？,可以去门诊缴费窗口找工作人员修改。,
